id,edad,sexo,exp,ant,empr,sup,doc,form,pi01,pi02,pi03,pi04,pi05,pi06,pi07,pi08,pi09,pi10,pc01,pc02,pc03,pc04,pc05,pc06,pc07,pc08,pre01,pre02,pre03,pre04,pre05,pre06,pro01,pro02,pro03,pro04,pro05,pro06,ac01,ac02,ac03,ac04,ac05,ac06,cch01,cch02,cch03,cch04,cch05,cch06,ccl01,ccl02,ccl03,nc01,nc02,nc03,nc04,nc05,nc06
100,60,0,36,10,4,0,0,0,6,4,6,3,3,5,2,6,5,4,3,3,2,6,6,4,5,4,5,4,5,5,5,5,4,4,4,3,5,3,5,6,5,6,6,7,6,7,7,5,7,4,7,6,6,6,4,6,2,6,6
101,32,0,9,6,2,1,0,1,4,5,6,6,6,5,5,6,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,4,6,6,6,6,6,5,6,5,5,6,5,4,5,6,4,5,6,5,5,6
102,47,0,30,22,4,0,0,0,7,5,6,4,5,4,3,3,3,4,2,1,1,1,1,2,2,1,6,7,7,7,6,6,7,6,5,5,5,6,4,6,4,4,5,4,4,4,4,3,3,4,6,5,6,2,2,2,5,1,2
103,43,0,15,7,3,0,0,0,5,6,5,6,5,4,5,5,5,5,6,5,6,6,6,5,6,6,7,6,6,6,6,7,6,6,5,6,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,4,5,5,4,5,5,4,5
104,35,1,14,3,3,0,0,1,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,7,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,1,4,7,7,7,7,4,4,7,1,1,1
105,34,1,7,7,1,1,0,1,7,6,7,7,7,7,6,7,5,5,7,6,2,5,5,5,6,5,7,7,7,7,7,7,6,6,3,3,7,6,7,6,7,5,5,6,6,7,7,7,7,4,3,3,2,5,5,3,3,7,4
106,35,1,18,17,2,0,0,1,7,5,7,7,5,7,3,3,7,7,2,2,1,2,3,1,6,7,6,7,7,6,7,5,2,4,4,3,7,2,7,4,5,6,5,5,7,7,7,7,7,7,7,7,7,2,1,1,1,1,3
107,42,1,15,3,3,1,0,0,7,7,7,7,7,7,5,7,7,7,7,4,6,5,6,6,3,6,7,7,7,7,7,7,7,6,6,7,7,7,6,4,6,4,4,4,4,3,3,3,2,4,7,7,7,3,3,4,3,3,5
108,51,0,25,23,3,1,0,0,5,6,6,7,7,7,4,4,5,7,6,5,5,7,6,6,6,4,4,7,6,6,6,3,5,3,4,3,7,4,6,4,5,3,4,6,6,6,4,4,2,6,6,6,6,4,5,2,3,4,6
109,42,1,16,4,5,1,0,1,6,4,6,4,6,4,5,4,6,5,7,4,7,4,6,5,4,4,6,6,6,6,6,5,6,6,3,3,5,4,5,5,4,4,5,5,4,5,3,5,5,4,5,4,3,2,2,2,2,4,2
110,30,1,7,7,1,0,0,0,7,6,6,6,7,5,3,4,4,4,4,3,1,5,4,5,3,4,7,7,7,7,7,7,7,6,6,6,7,7,6,7,6,7,6,6,6,6,5,6,6,7,4,2,2,6,6,6,7,6,6
111,26,1,7,4,3,1,0,1,7,6,7,6,7,7,6,7,7,7,7,5,2,7,5,5,5,7,6,7,7,7,7,7,6,6,6,7,7,7,1,3,4,1,1,3,1,3,1,1,1,1,6,6,6,2,1,1,1,1,1
112,34,1,10,9,3,1,0,0,7,5,6,7,6,4,2,6,6,6,2,2,2,6,3,2,2,6,6,6,6,6,6,6,4,4,4,6,6,4,6,2,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
